iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss,bio_source
SWE,Sweden,2011,1747.0,7.466227556215481,0.944839000701904,0.055160999298096036,historical
SWE,Sweden,2012,874.0,6.774223886357614,0.9464390873909,0.05356091260910001,historical
SWE,Sweden,2013,115.0,4.7535901911063645,0.947933912277222,0.05206608772277799,historical
SWE,Sweden,2014,59.5,4.102643365036796,0.949286341667175,0.05071365833282504,historical
SWE,Sweden,2015,160.7,5.085742766583061,0.951435327529907,0.048564672470092995,ssp2_projected
SWE,Sweden,2016,31.09,3.4685444551217657,0.952038824558258,0.047961175441742054,ssp2_projected
SWE,Sweden,2017,14.56,2.7447035187502458,0.952522218227386,0.04747778177261397,ssp2_projected
SWE,Sweden,2018,108.42,4.69519368863568,0.952731788158417,0.04726821184158303,ssp2_projected
SWE,Sweden,2019,178.38,5.189506460689857,0.952866733074188,0.04713326692581199,ssp2_projected
SWE,Sweden,2020,22.9,3.173878458937465,0.952522218227386,0.04747778177261397,ssp2_projected
UKR,Ukraine,2010,1.0,0.6931471805599453,0.581691563129425,0.41830843687057495,historical
UKR,Ukraine,2011,6.0,1.9459101490553132,0.581413745880127,0.41858625411987305,historical
UKR,Ukraine,2012,6.0,1.9459101490553132,0.581211447715759,0.41878855228424094,historical
UKR,Ukraine,2013,6.0,1.9459101490553132,0.581225216388702,0.41877478361129805,historical
UKR,Ukraine,2014,4.03,1.6154199841116479,0.581053376197815,0.41894662380218495,historical
UKR,Ukraine,2015,0.18,0.16551443847757338,0.580492556095123,0.41950744390487704,ssp2_projected
UKR,Ukraine,2016,0.41,0.3435897043900769,0.576445758342743,0.42355424165725697,ssp2_projected
UKR,Ukraine,2017,0.07,0.06765864847381481,0.572302103042603,0.427697896957397,ssp2_projected
UKR,Ukraine,2018,0.24,0.2151113796169455,0.568155884742737,0.43184411525726296,ssp2_projected
UKR,Ukraine,2019,0.06,0.058268908123975775,0.564054489135742,0.43594551086425803,ssp2_projected
UKR,Ukraine,2020,0.04,0.039220713153281295,0.560059309005737,0.43994069099426303,ssp2_projected
URY,Uruguay,2010,2313.0,7.746732907753622,0.339179188013077,0.660820811986923,historical
URY,Uruguay,2011,180.0,5.198497031265826,0.335196942090988,0.6648030579090121,historical
URY,Uruguay,2012,299.0,5.703782474656201,0.334874957799911,0.665125042200089,historical
URY,Uruguay,2013,109.0,4.700480365792417,0.332542479038239,0.667457520961761,historical
URY,Uruguay,2014,35.55,3.5986811861957873,0.332324177026749,0.667675822973251,historical
URY,Uruguay,2015,8.53,2.254444717666111,0.330691128969193,0.669308871030807,ssp2_projected
USA,United States of America,2010,55.0,4.02535169073515,0.688368797302246,0.311631202697754,historical
USA,United States of America,2011,103.0,4.6443908991413725,0.689221143722534,0.31077885627746604,historical
USA,United States of America,2012,190.0,5.25227342804663,0.687221765518188,0.31277823448181197,historical
USA,United States of America,2013,136.0,4.919980925828125,0.691076457500458,0.308923542499542,historical
USA,United States of America,2014,143.51,4.973348709310239,0.688019990921021,0.31198000907897905,historical
USA,United States of America,2015,15.99,2.8326249356838407,0.690962076187134,0.309037923812866,ssp2_projected
USA,United States of America,2018,3.88,1.5851452198650557,0.691814303398132,0.308185696601868,ssp2_projected
USA,United States of America,2019,0.67,0.5128236264286637,0.692127764225006,0.307872235774994,ssp2_projected
USA,United States of America,2020,0.9,0.6418538861723948,0.692320287227631,0.30767971277236905,ssp2_projected
